Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
SP112929	22	11	12	126	10	34	0	72	0	32	50	7	3
SP112833	6	16	5	13	6	16	0	30	4	8	18	4	20
SP112777	280	0	0	0	5	0	0	151	0	0	50	83	33
SP112887	8	0	0	28	7	66	0	53	41	4	6	5	27
SP112877	0	0	5	0	0	1	1	0	0	0	0	2	10
SP112871	8	0	11	48	2	29	0	51	27	12	0	4	20
SP112875	13	50	3	70	15	44	5	41	47	14	22	10	48
SP112913	5	9	0	25	17	38	1	21	9	22	8	8	53
SP112849	10	0	0	80	7	49	0	65	45	13	22	4	7
SP112881	1	1	0	28	0	28	0	23	71	15	19	1	18
SP112951	0	4	0	1	0	5	0	0	0	5	0	0	11
SP112845	16	4	16	51	6	28	5	68	0	29	12	0	6
SP114910	96	129	0	349	28	26	1	90	91	22	31	4	0
SP114906	41	97	0	241	19	26	1	61	65	17	34	3	0
SP114921	110	111	0	192	79	306	0	174	0	41	113	51	3
SP114901	48	0	0	264	40	14	34	63	348	23	132	9	0
SP114926	51	41	6	236	6	66	3	41	47	39	6	10	0
SP114974	75	98	0	282	17	71	4	102	6	52	20	0	2
SP114958	408	180	0	179	38	162	0	111	32	96	49	3	3
SP114935	46	17	2	230	5	60	3	36	64	37	4	11	0
SP114900	38	0	0	251	34	15	30	37	387	23	132	5	0
SP114941	102	41	0	253	91	404	5	144	0	83	82	0	0
SP114937	84	48	15	257	78	415	3	132	0	76	65	3	0
SP114945	97	60	16	284	81	422	2	134	0	74	69	1	0
SP114943	105	77	18	282	76	429	7	129	0	82	66	4	0
SP114949	21	59	2	313	25	60	5	68	50	26	34	10	5
SP114960	378	167	0	178	39	163	0	106	61	98	51	5	4
SP114962	93	54	31	334	1544	386	71	77	0	59	43	37	0
SP114996	71	9	10	146	554	460	28	18	4	0	18	23	0
SP114987	72	25	2	134	597	478	25	0	0	0	32	27	0
SP114966	100	33	16	358	1611	464	85	40	112	39	52	54	0
SP114903	49	33	2	310	20	42	28	59	317	46	117	0	0
SP114914	60	115	0	310	24	20	0	84	80	15	31	10	0
SP114944	87	35	18	274	81	407	6	134	0	92	67	3	0
SP114930	58	54	0	224	35	170	2	133	1	34	32	7	0
SP114946	14	40	7	321	14	45	7	54	70	25	20	14	3
SP114951	15	43	8	284	16	64	8	50	46	35	27	13	0
SP114953	376	132	0	212	46	163	2	125	41	121	56	9	0
SP114924	66	104	0	129	63	297	0	149	0	30	86	32	1
SP114957	391	167	0	181	37	158	0	114	15	100	45	7	1
SP114986	72	89	0	280	17	79	3	105	1	49	24	5	3
SP114971	81	71	0	296	34	57	2	114	0	48	26	4	5
SP114991	67	16	8	147	538	457	29	20	0	0	24	20	0
SP114992	66	23	4	142	615	474	18	16	0	0	21	25	0
SP114920	87	114	0	362	22	30	0	79	83	16	43	8	0
SP114898	46	30	1	306	23	39	32	15	318	41	126	5	0
SP114932	40	34	5	231	7	65	2	45	58	36	8	12	0
SP114934	41	7	0	227	8	62	3	38	60	36	2	10	0
SP114968	106	74	18	345	1642	493	99	53	13	54	65	79	0
SP114982	81	66	0	283	37	75	3	101	0	46	20	1	3
SP114973	90	43	0	327	29	62	2	112	0	45	14	3	3
SP114908	51	127	0	264	19	26	0	68	63	17	34	3	0
SP114904	92	129	0	319	21	25	0	79	95	14	41	7	0
SP114918	47	101	0	236	18	26	0	65	104	13	31	0	0
SP114984	79	49	0	255	18	72	1	99	12	42	16	1	5
SP114994	65	12	3	146	597	471	17	0	0	0	26	22	0
SP114978	84	25	18	276	23	90	1	90	13	47	16	0	0
SP114912	88	112	0	342	19	27	0	88	48	27	29	7	0
SP114917	91	142	0	336	24	23	0	75	71	17	37	8	0
SP114980	101	60	0	326	44	80	3	107	0	50	23	2	3
SP114976	97	20	4	330	44	61	2	97	0	51	16	0	3
SP114916	66	117	0	312	19	34	0	76	92	19	34	5	0
SP125579	0	0	0	0	0	0	0	1	0	0	0	0	0
SP111131	29	43	0	99	17	45	3	57	0	5	13	0	0
