Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
SP48414	9.86E-01	5.93E-01	9.12E-01	1.03E+00	1.69E+00	3.47E-01	1.46E+00
SP48135	2.26E+00	1.17E+00	1.59E+00	7.66E-01	1.78E+00	9.25E-02	2.71E+00
SP47652	1.13E+00	7.00E-01	6.49E-01	6.16E-01	9.25E-01	1.23E-01	1.24E+00
SP48888	9.27E-01	7.20E-02	6.29E-01	8.45E-02	8.32E-01	0.00E+00	1.02E+00
SP48426	2.30E-01	0.00E+00	2.27E-01	8.23E-02	4.43E-01	2.00E-02	3.67E-01
SP48480	3.01E+00	7.95E-01	1.46E+00	9.69E-01	2.00E+00	4.00E-02	3.30E+00
SP48263	4.75E-01	3.55E-01	5.03E-01	7.45E-01	8.87E-01	1.00E-02	7.32E-01
SP47628	1.41E-01	3.66E-01	5.31E-01	4.73E-01	1.10E+00	2.23E-02	8.68E-01
SP47808	1.63E+00	8.01E-01	8.86E-01	7.98E-01	1.41E+00	0.00E+00	2.02E+00
SP48850	9.62E-01	1.10E+00	1.27E+00	1.37E+00	2.67E+00	1.00E-02	2.79E+00
SP48189	1.77E+00	1.45E+00	1.57E+00	1.13E+00	1.12E+00	0.00E+00	2.26E+00
SP48073	1.13E+00	6.33E-01	8.30E-01	7.82E-01	1.54E+00	0.00E+00	1.58E+00
SP48008	8.32E-01	1.43E+00	2.07E+00	9.86E-01	1.38E+00	0.00E+00	1.66E+00
SP48504	1.07E+00	1.20E+00	1.43E+00	7.00E-01	9.73E-01	0.00E+00	1.67E+00
SP48534	2.08E+00	8.10E-01	1.10E+00	7.86E-01	1.55E+00	0.00E+00	2.32E+00
SP48010	1.03E+00	4.79E-01	1.04E+00	7.26E-01	1.14E+00	0.00E+00	1.23E+00
SP79365	2.01E-01	2.06E-01	1.05E-01	1.78E-01	6.57E-02	0.00E+00	2.56E-01
SP79237	3.99E-02	2.14E-01	1.85E-01	1.14E-01	2.09E-01	0.00E+00	9.17E-02
SP79462	1.38E-01	2.00E-02	0.00E+00	1.63E-01	3.32E-01	0.00E+00	3.18E-01
SP79201	1.65E-01	0.00E+00	2.32E-01	2.51E-01	4.17E-01	7.00E-02	3.73E-01
SP79371	2.00E-01	0.00E+00	1.17E-01	1.22E-01	2.01E-01	1.98E-01	1.10E-01
SP79439	5.80E-02	2.43E-02	9.17E-02	9.22E-02	1.91E-01	3.15E-02	1.56E-01
SP79175	0.00E+00	0.00E+00	9.52E-02	7.06E-02	1.39E-01	0.00E+00	1.15E-01
SP79354	8.38E-02	0.00E+00	1.48E-01	1.66E-01	2.48E-01	1.93E-01	2.66E-01
SP79184	1.45E-01	1.64E-01	2.06E-01	1.60E-01	1.12E-01	3.39E-02	3.15E-02
SP79312	2.32E-01	3.05E-01	2.33E-01	1.22E-01	2.77E-01	0.00E+00	2.86E-01
SP79252	7.57E-02	1.83E-01	1.45E-01	6.37E-02	1.61E-01	0.00E+00	6.74E-02
SP79294	2.81E-01	2.73E-01	7.53E-02	2.92E-01	3.62E-01	9.73E-02	3.17E-01
SP79246	2.82E-01	2.28E-01	1.81E-01	1.96E-01	3.26E-01	0.00E+00	1.85E-01
SP79458	5.53E-02	2.02E-01	2.03E-01	2.24E-01	3.09E-01	2.29E-01	1.29E-01
SP79222	3.53E-01	2.58E-01	2.80E-01	2.75E-01	4.55E-01	2.14E-01	4.31E-01
SP79178	0.00E+00	1.65E-01	6.67E-02	1.35E-01	2.35E-01	1.82E-01	2.15E-01
SP79474	1.31E-01	2.32E-01	1.10E-01	3.12E-02	1.55E-01	0.00E+00	2.45E-01
SP79387	5.29E-02	0.00E+00	9.89E-02	5.95E-02	1.21E-01	4.98E-02	1.41E-01
SP79306	1.41E-01	0.00E+00	1.98E-01	3.39E-01	4.05E-01	0.00E+00	1.52E-01
SP79270	5.74E-02	1.05E-01	0.00E+00	2.90E-01	3.31E-01	1.97E-01	2.64E-01
SP79210	4.98E-02	1.14E-01	0.00E+00	7.32E-02	8.05E-02	0.00E+00	9.87E-02
SP79427	1.12E-01	0.00E+00	1.59E-01	1.09E-01	7.23E-02	4.52E-02	1.46E-01
SP79297	2.06E-01	8.00E-02	2.26E-01	3.14E-01	3.56E-01	0.00E+00	3.28E-01
SP79368	2.01E-01	0.00E+00	1.21E-01	1.40E-01	1.62E-01	5.34E-02	2.45E-01
SP79351	2.28E-01	1.55E-01	1.16E-01	1.41E-02	2.44E-01	0.00E+00	3.25E-01
SP79300	9.36E-02	9.78E-02	0.00E+00	0.00E+00	1.14E-01	0.00E+00	9.37E-02
SP79435	1.17E-01	1.30E-01	1.45E-01	1.85E-01	2.02E-01	9.11E-02	4.22E-02
SP79288	8.68E-02	0.00E+00	1.93E-01	1.39E-01	2.12E-01	0.00E+00	1.60E-01
SP79447	5.43E-02	3.71E-02	1.84E-01	5.80E-02	1.45E-01	1.01E-01	1.47E-01
SP79403	0.00E+00	8.22E-02	8.42E-02	2.23E-02	1.51E-01	2.00E-02	1.21E-01
SP79377	7.30E-02	1.70E-01	1.13E-01	1.18E-01	3.05E-01	0.00E+00	2.72E-01
SP79327	6.58E-02	0.00E+00	0.00E+00	6.65E-02	0.00E+00	0.00E+00	1.00E-02
SP79324	0.00E+00	8.69E-02	8.77E-02	3.83E-02	8.76E-02	0.00E+00	6.37E-02
