Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R
CPCT02010872T	6	9	7	2	0	10	37	5	16	26	1	30	8	17	2	7	4	20
CPCT02010878T	21	115	33	0	58	0	80	112	13	2	21	0	7	44	12	17	24	24
CPCT02090054T	723	873	208	13	130	60	62	275	132	56	30	117	280	24	251	163	48	37
CPCT02330117T	268	227	13	0	73	151	18	36	43	9	47	80	0	33	10	32	9	32
CPCT02170031T	305	534	41	16	382	0	47	1	25	15	12	8	23	70	36	2	43	0
CPCT02020765T	10	71	5	0	0	43	75	26	8	7	338	68	22	21	12	0	4	0
CPCT02010851T	2	12	16	2	0	9	87	13	0	1	9	35	18	7	2	17	6	15
CPCT02020756T	12	15	39	6	0	114	59	39	14	14	27	56	30	13	4	12	2	0
DRUP01170001T	49	337	8	0	211	12	44	167	0	60	0	0	0	84	9	0	3	0
WIDE01010617T	164	165	52	0	0	31	15	37	28	18	33	10	32	30	14	78	5	0
WIDE01010627T	5	36	15	2	0	35	9	10	21	4	19	0	57	17	3	11	7	0
CPCT02030502T	28	38	53	6	0	27	18	36	8	22	12	46	32	14	12	16	4	47
CPCT02030507T	207	82	6	0	58	10	51	11	13	3	21	71	9	14	8	11	5	9
WIDE01010595T	81	452	0	13	237	10	11	21	22	85	26	23	19	62	8	0	36	8
CPCT02040273T	6	110	17	6	2	60	27	10	24	44	28	0	39	24	13	3	14	13
CPCT02030520T	51	179	37	0	20	118	41	10	35	5	22	16	24	28	7	6	4	42
CPCT02110075T	726	594	9	24	222	23	73	33	29	11	30	0	145	69	45	19	17	23
CPCT02290050T	135	142	42	0	17	32	75	26	17	16	30	68	27	24	10	46	3	0
