Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
SP69155	6.25E-01	5.80E-01	9.76E-01	7.50E-01	0.00E+00	4.70E-01
SP59950	8.13E+00	1.04E+00	3.87E+00	8.24E+00	0.00E+00	1.74E+00
SP59938	8.22E+00	7.34E-01	2.08E+00	8.67E+00	2.82E-01	6.69E-01
SP64976	1.48E+00	9.53E-01	1.85E+00	1.57E+00	2.61E-01	1.22E+00
SP64296	1.62E+01	1.29E+00	2.34E+00	1.62E+01	0.00E+00	1.48E+00
SP65807	1.55E+01	1.16E+00	2.96E+00	1.65E+01	1.06E+00	1.31E+00
SP59803	2.28E+00	1.39E+00	4.55E+00	3.88E+00	6.62E-01	1.11E+00
SP66159	1.32E+01	1.11E+00	3.91E+00	1.39E+01	1.65E+00	1.31E+00
SP63356	1.75E+00	1.30E+00	3.51E+00	2.84E+00	7.82E-01	2.69E-01
SP68348	1.20E+01	1.52E+00	2.85E+00	1.23E+01	1.18E+00	1.70E+00
SP62450	1.29E+00	7.77E-01	1.90E+00	1.50E+00	0.00E+00	5.38E-01
SP67428	9.59E+00	8.92E-01	2.85E+00	9.70E+00	1.05E+00	9.97E-01
SP61713	1.40E+01	9.85E-01	1.73E+00	1.32E+01	4.10E-01	1.04E+00
SP68725	5.43E+00	7.70E-01	1.68E+00	5.55E+00	6.09E-01	6.00E-01
SP67609	2.04E+01	1.07E+00	3.40E+00	2.12E+01	1.46E+00	1.40E+00
SP62110	1.64E+00	1.06E+00	4.94E+00	4.06E+00	5.09E-01	1.58E+00
SP64546	9.18E+00	7.69E-01	2.14E+00	9.83E+00	5.19E-01	2.20E-01
SP63546	1.17E+00	8.94E-01	2.40E+00	2.12E+00	4.81E-01	1.12E+00
SP60322	5.09E+00	5.91E-01	1.74E+00	5.27E+00	2.38E-01	8.07E-01
