Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q
CPCT02080270T	119	29	93	74	33	53	63	14	12	1	10	37	47	24	14	10	5
CPCT02060133T	2	7	1	29	9	0	29	13	0	1	28	3	2	4	0	8	9
CPCT02050276TII	69	33	23	36	30	47	35	4	51	10	13	3	24	17	2	8	5
CPCT02080271T	80	36	9	39	53	31	98	0	12	15	30	22	39	5	3	10	30
CPCT02050243T	20	13	57	20	13	29	84	32	18	0	2	41	105	3	7	9	0
CPCT02060126T	89	18	57	4	47	42	47	0	40	4	12	0	48	18	18	9	2
DRUP01010106T	113	105	39	3	18	92	55	2108	196	49	0	0	0	9	61	0	57
CPCT02050245T	96	37	264	65	58	1	81	40	24	1	54	36	77	13	31	12	6
CPCT02030548T	100	12	33	75	72	14	39	14	8	14	43	0	10	16	28	12	5
CPCT02050415T	147	20	12	80	49	17	58	14	37	11	55	76	17	28	20	32	5
