Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
CPCT02180014T	49	235	55	44	93	23	22	22	35	17	12
CPCT02090006T	10	40	25	34	43	30	42	12	17	5	7
CPCT02020444T	12	19	75	0	456	46	85	17	88	7	33
CPCT02030314T	18	17	37	11	21	51	20	20	12	18	6
CPCT02190010T	62	109	21	31	32	35	38	18	0	6	12
DRUP01010013T	15	134	39	32	50	24	26	4	11	5	14
CPCT02080086T	36	46	3150	49	22	239	30	72	38	87	3
CPCT02010438T	0	0	28	41	52	8	29	13	0	7	1
CPCT02190012T	49	233	121	0	215	136	30	26	113	23	9
CPCT02010486T	0	58	18	30	15	13	53	22	5	9	14
CPCT02060077T	42	157	21	58	67	69	30	20	25	19	22
CPCT02020491T	157	871	4735	868	0	0	54	76	24	118	99
CPCT02010538T	15	2	14	0	91	45	49	11	27	9	0
CPCT02170001T	11	190	34	58	77	15	21	49	39	20	22
CPCT02170002T	50	105	15	4	54	52	37	13	12	13	0
CPCT02050142T	3	117	10	45	82	8	42	18	26	23	16
CPCT02080071T	431	492	186	0	4	180	34	55	29	716	28
CPCT02020499T	5	114	12	29	74	15	55	10	42	8	4
CPCT02340008T	60	295	19	18	53	38	34	18	17	15	8
CPCT02020505T	33	39	72	0	418	24	27	43	105	7	28
CPCT02080158T	12	79	78	40	78	65	107	14	9	30	1
CPCT02010571T	9	10	34	0	47	19	178	15	28	17	0
CPCT02380010T	387	616	25	0	16	67	65	36	17	70	41
CPCT02110047T	1082	979	35	0	0	66	117	67	11	86	61
CPCT02030425T	123	324	245	27	56	72	71	44	60	42	4
CPCT02080168T	0	24	10	33	73	9	30	5	24	3	7
CPCT02020641T	10	28	21	9	82	12	112	14	38	8	4
CPCT02230065T	26	88	13	11	53	96	95	26	9	19	6
CPCT02330074T	483	716	58	0	456	17	148	63	292	9	55
CPCT02010697T	21	31	20	22	30	7	108	7	3	4	0
CPCT02090028T	500	229	26	87	448	90	150	55	180	1074	64
CPCT02450008T	151	219	32	110	108	22	112	46	17	25	29
CPCT02010688T	0	18	6	38	29	16	41	5	24	3	8
CPCT02020646T	7	55	36	34	90	0	42	7	48	22	9
CPCT02010704T	14	14	17	0	17	40	149	11	21	12	0
CPCT02010705T	7	70	1	19	27	69	104	9	1	4	3
CPCT02250003T	0	0	7	8	0	7	38	27	213	90	4037
CPCT02010698T	8	101	10	8	105	7	49	12	44	8	13
WIDE01010622T	60	246	170	49	104	86	43	10	106	48	7
WIDE01010631T	181	344	10	76	48	59	19	98	25	61	22
WIDE01010635T	143	150	2	239	49	57	54	126	7	102	34
WIDE01010636T	109	335	530	0	85	94	28	33	44	20	0
