Samples	ID83A	ID83B
CPCT02011009T	1.53E+00	1.53E+00
CPCT02120070T	2.93E+00	2.93E+00
CPCT02040309T	1.76E+00	1.76E+00
CPCT02040115TII	2.33E+00	2.33E+00
CPCT02190020T	4.69E+00	4.69E+00
CPCT02040172T	2.55E+00	2.55E+00
CPCT02020630T	5.94E+00	5.94E+00
CPCT02010667T	1.92E+00	1.92E+00
CPCT02010676T	2.96E+00	2.96E+00
CPCT02230060T	4.01E+00	4.01E+00
CPCT02010660T	2.66E+00	2.66E+00
CPCT02040186T	3.79E+00	3.79E+00
CPCT02020458T	2.05E+00	2.05E+00
CPCT02110017T	2.14E+00	2.14E+00
CPCT02010567T	1.03E+00	1.02E+00
CPCT02080092T	3.23E+00	3.23E+00
CPCT02390002T	2.71E+00	2.71E+00
DRUP01010024T	9.79E-01	9.80E-01
CPCT02040113T	2.91E+00	2.91E+00
CPCT02080114T	2.88E+00	2.88E+00
CPCT02300015T	4.08E+00	4.08E+00
CPCT02010531T	2.84E+00	2.84E+00
CPCT02010478TII	1.07E+00	1.07E+00
CPCT02020535T	2.54E+00	2.54E+00
DRUP01010023T	3.89E+00	3.89E+00
CPCT02040121T	2.85E+00	2.85E+00
CPCT02010603T	2.92E+00	2.92E+00
CPCT02010606T	3.78E+00	3.78E+00
CPCT02010609T	2.56E+00	2.56E+00
CPCT02010450TII	3.65E+00	3.65E+00
CPCT02020555T	2.80E+00	2.80E+00
CPCT02040117T	3.73E+00	3.73E+00
CPCT02040136T	3.07E+00	3.07E+00
DRUP01010034T	3.29E+00	3.29E+00
CPCT02010612T	2.67E+00	2.67E+00
CPCT02040115T	2.20E+00	2.20E+00
CPCT02010621T	1.62E+00	1.62E+00
CPCT02010618T	2.61E+00	2.61E+00
CPCT02010507T	2.40E+00	2.40E+00
CPCT02120040T	3.96E+00	3.96E+00
CPCT02080138T	3.22E+00	3.22E+00
CPCT02040157T	1.65E+00	1.65E+00
CPCT02040149T	2.20E+00	2.20E+00
CPCT02180002T	3.70E+00	3.70E+00
CPCT02020417T	2.31E+00	2.31E+00
CPCT02010455T	1.78E+00	1.78E+00
DRUP01010010T	2.06E+00	2.06E+00
CPCT02010452T	1.16E+00	1.16E+00
CPCT02010451T	1.76E+00	1.76E+00
CPCT02010450T	2.99E+00	2.99E+00
CPCT02010453T	3.52E+00	3.52E+00
CPCT02010407T	2.41E+00	2.41E+00
CPCT02020429T	2.15E+00	2.15E+00
CPCT02010477T	1.36E+00	1.35E+00
CPCT02010478T	1.03E+00	1.03E+00
CPCT02010484T	2.65E+00	2.65E+00
CPCT02020452T	2.81E+00	2.81E+00
CPCT02190006T	2.84E+00	2.84E+00
CPCT02010481T	1.49E+00	1.49E+00
CPCT02110015T	2.38E+00	2.38E+00
DRUP01010016T	1.42E+00	1.42E+00
DRUP01010017T	3.26E+00	3.25E+00
CPCT02080088T	2.64E+00	2.64E+00
CPCT02020482T	1.82E+00	1.82E+00
CPCT02010524T	2.71E+00	2.71E+00
CPCT02010530T	3.91E+00	3.91E+00
CPCT02010536T	3.29E+00	3.29E+00
CPCT02040093T	1.49E+00	1.49E+00
CPCT02020485T	1.78E+00	1.78E+00
CPCT02040092T	2.82E+00	2.82E+00
CPCT02080089T	3.36E+00	3.36E+00
CPCT02040077T	2.32E+00	2.32E+00
CPCT02010498T	3.55E+00	3.55E+00
CPCT02190013T	2.62E+00	2.62E+00
CPCT02060086T	1.19E+00	1.19E+00
CPCT02040106T	2.61E+00	2.61E+00
CPCT02040104T	6.63E+00	6.63E+00
CPCT02230013T	1.24E+00	1.24E+00
CPCT02230017T	1.83E+00	1.83E+00
CPCT02180023T	2.50E+00	2.50E+00
DRUP01010054T	1.67E+00	1.67E+00
DRUP01010058T	3.04E+00	3.04E+00
CPCT02010690T	1.51E+00	1.51E+00
CPCT02020639T	2.76E+00	2.76E+00
CPCT02040194T	2.25E+00	2.25E+00
CPCT02010670T	2.75E+00	2.75E+00
CPCT02040198T	2.23E+00	2.23E+00
CPCT02050283T	1.17E+00	1.17E+00
CPCT02010702T	2.38E+00	2.39E+00
DRUP01010024TII	1.26E+00	1.26E+00
DRUP01070030T	2.00E+00	2.00E+00
CPCT02050294T	3.62E+00	3.62E+00
CPCT02120097T	2.45E+00	2.45E+00
CPCT02170019T	2.25E+00	2.25E+00
CPCT02010706T	2.33E+00	2.33E+00
CPCT02040202T	1.93E+00	1.93E+00
CPCT02040201T	1.96E+00	1.96E+00
WIDE01010634T	1.62E+00	1.62E+00
WIDE01010610T	3.99E+00	3.99E+00
WIDE01010630T	3.01E+00	3.01E+00
WIDE01010491T	8.72E-01	8.72E-01
WIDE01010495T	1.19E+00	1.19E+00
WIDE01010485T	2.62E+00	2.62E+00
WIDE01010474T	1.59E+00	1.59E+00
WIDE01010513T	3.47E+00	3.47E+00
WIDE01010523T	4.65E+00	4.65E+00
WIDE01010528T	1.43E+00	1.43E+00
WIDE01010457T	2.92E+00	2.92E+00
WIDE01010427T	1.14E+00	1.14E+00
WIDE01010472T	2.92E+00	2.92E+00
WIDE01010501T	2.75E+00	2.75E+00
WIDE01010480T	1.45E+00	1.45E+00
WIDE01010557T	4.77E+00	4.77E+00
WIDE01010589T	2.01E+00	2.01E+00
WIDE01010549T	1.07E+00	1.07E+00
WIDE01010593T	1.59E+00	1.59E+00
WIDE01010558T	1.17E+00	1.17E+00
WIDE01010657T	3.26E+00	3.26E+00
WIDE01010667T	1.47E+00	1.47E+00
WIDE01010675T	1.31E+00	1.31E+00
WIDE01010646T	2.88E+00	2.88E+00
WIDE01010666T	1.38E+00	1.38E+00
WIDE01010648T	4.99E+00	4.99E+00
WIDE01010677T	2.49E+00	2.49E+00
WIDE01010671T	1.59E+00	1.59E+00
WIDE01010679T	1.20E+00	1.20E+00
WIDE01010685T	1.79E+00	1.79E+00
WIDE01010689T	1.73E+00	1.73E+00
WIDE01010707T	2.46E+00	2.46E+00
WIDE01010708T	2.01E+00	2.01E+00
