hdp.1	hdp.2	hdp.3	hdp.4	hdp.5	hdp.6	hdp.7	hdp.8	hdp.9	hdp.10	hdp.11	hdp.12	hdp.13	hdp.14
G[Del(C):R8]T	0.000426288753180321	0.000138047211285212	0.000148237735853928	0.0012661768230171	0.000797920233268498	0.000218969356202065	1.09013483437887e-05	5.45838291704165e-05	3.67785617464745e-05	0.000131708610910412	0.00114722075127884	1.52537373050011e-05	0.00124287346382857	0.000214553722603787
G[Del(C):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R(9,)]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Del(C):R1]A	0.000171663730794771	0.00124600141835449	0.0197651543946366	0.00029480126016331	0.0033394767444216	0.00612617866825056	0.00144393581456751	0.00725835972280516	0.00999624858670186	0.00370018740713941	0.00129388135403855	0.0075843000832773	0.000924151073501819	0.00169167472644028
T[Del(C):R1]G	5.8625685578957e-05	0.000209245801342153	0.00123735539305592	7.67225303718148e-05	0.000853818322720209	0.00111569266372076	0.000134122628222991	0.000763462128738803	0.00200050975662317	0.000848213816481094	0.000335958051262637	0.00012309411267059	0.000379733834042456	0.000437378965785004
T[Del(C):R1]T	0.00152014615563662	0.000342268369970082	0.0152711793420258	0.00299684727288931	0.00750961102489226	0.00157441886700701	0.0112556017078661	0.011449271293652	0.0164057471027739	0.00785963394067083	0.0024584711062688	0.00558479357461908	0.00326408738800296	0.00307885038241501
T[Del(C):R2]A	0.000197513106606149	0.00105550856746396	0.0274639267582392	0.000105414252388758	0.00175190610818787	0.00582090618979073	0.0014840471860376	0.00659333376773118	0.00853920068157926	0.00325175840514347	0.000232709381509676	0.00296343121722442	0.000168968785605483	0.00127747387047477
T[Del(C):R2]G	1.74077139734697e-05	7.40967055361977e-05	0.00558774012327817	0.00016646918563548	0.000334625572514739	0.00286627967677087	7.45403599472222e-05	0.000463076904012917	0.00108190657530855	0.000852127762790739	7.86079410198615e-05	0.00177495730600553	2.22580217139883e-05	0.00110799695965087
T[Del(C):R2]T	0.00022775273419696	0.000241786699263576	0.0208330267331394	0.000690332725424897	0.00301578699204277	0.00193633141893778	0.00381490552098566	0.00604916300644974	0.0128514082253582	0.006052682006506	0.000715236434309973	0.00317029419290221	0.000303005648037208	0.00309247756379797
T[Del(C):R3]A	0.000183600476321783	0.000851225905363774	0.0583014699658138	0.000223404321512851	0.000721755359266597	0.00331455374278773	0.00227662008122814	0.00502546978556418	0.00554894322800071	0.00211048861179586	0.000973939424140039	0.000179598820627654	0.000227710524092443	0.000880054085033255
T[Del(C):R3]G	2.56475398381042e-05	6.51377080385871e-05	0.00603451884793571	3.24791529943951e-05	0.000275280989628054	0.000977595989742658	0.00025887392190483	0.000284228707741296	0.000731741219964167	0.000364904704966305	0.000208667583843867	1.73821657661641e-05	7.19623572646027e-05	0.000249692808222296
T[Del(C):R3]T	0.000411890375245084	0.000282919437930575	0.0218348025245783	0.000634587924997582	0.00171817782892347	0.00171753723822067	0.000904182988591555	0.00506214804361773	0.00440475847090812	0.00136099701213476	0.00124786935557497	0.0036209635811194	0.000840390114725758	0.00189283929703024
T[Del(C):R4]A	0.000912166703223409	0.000880495939834332	0.0154363469412182	6.70297988499273e-05	0.000553122732647997	0.000539715669166849	0.000919998035109197	0.00316279383590635	0.00256933140656987	0.00132275721448044	0.000573797101207456	1.30239551075923e-05	0.00233386720003304	0.000638722058401815
T[Del(C):R4]G	0.000161510614873355	0.000156761023199817	0.00170091644411642	0.000113244186225817	0.000653825236754367	0.000544445407260814	0.000115534431688069	7.48684103570329e-05	0.000337751391305027	0.00023996366668981	0.000724058336618764	1.04901117014459e-05	0.000209516986681022	0.000404203622461856
T[Del(C):R4]T	0.000583388357827625	0.000627882775735387	0.00852638080278904	0.000130480861898711	0.000310123021223857	0.000672440294939461	0.000448889866855404	0.00224971346639465	0.0021060339341574	0.000853692136405523	0.00172350517797751	1.50003529643865e-05	0.000532287294118891	0.00149229537611883
