hdp.1	hdp.2	hdp.3	hdp.4
G[Del(C):R2]G	0.00695482033892777	0.00027949594447245	0.000208139973536545	0.000414718584427232
G[Del(C):R2]T	0.0217473070268324	0.00091248858814328	0.00211933857701014	0.00374953386825773
G[Del(C):R3]A	0.0196211671625612	0.00242705099633226	0.00098496983011149	0.00266665756447551
G[Del(C):R3]G	0.00556473478201691	0.000180964552820798	0.000213101609486627	0.000357545446244877
G[Del(C):R3]T	0.00869869313468729	0.00171453820462721	0.000671470368115161	0.00156330133059812
G[Del(C):R4]A	0.00702369444312301	0.00238126047407091	0.0011740618344993	0.00274175064149114
G[Del(C):R4]G	0.000939231479261014	0.000458620699523819	0.00030796180498608	0.000379732037181313
G[Del(C):R4]T	0.00431397645631049	0.00134816292104283	0.00055025720911303	0.000944636775639806
G[Del(C):R5]A	0.00499304239483902	0.00143841522273205	0.000595867603968136	0.00118271596299618
G[Del(C):R5]G	0.00110462694164899	0.000264215401887469	5.99192816451832e-05	0.000116052937205974
G[Del(C):R5]T	0.00362520670485241	0.000267383942490375	0.0005201339259438	0.000509438261117402
G[Del(C):R6]A	0.00337356788731542	0.000259769223944682	0.000827964817052569	0.000511144921958666
G[Del(C):R6]G	0.00116976881010209	0.000214898600568048	0.000151873189068335	6.57064423886766e-05
G[Del(C):R6]T	0.000995616948472954	0.000592006037807435	0.000475741030147686	0.000340478837832234
G[Del(C):R7]A	0.000879286031341191	5.75447857882573e-05	0.000264969687677192	0.000122026250150399
G[Del(C):R7]G	0.000105076790893942	1.12432085909561e-06	5.5350387327034e-05	1.62132779920111e-05
G[Del(C):R7]T	9.69520007783721e-05	0.000140080157944594	0.000135980244362796	4.6933173134769e-05
G[Del(C):R8]A	0.000325135152151337	1.05788371742178e-05	0.000154648563267326	6.39997815474123e-05
G[Del(C):R8]G	0	0	0	0
G[Del(C):R8]T	5.16771102757092e-07	6.93501548087612e-05	5.56383978571179e-06	2.04799300951719e-05
G[Del(C):R(9,)]A	0	0	0	0
G[Del(C):R(9,)]G	0	0	0	0
G[Del(C):R(9,)]T	0	0	0	0
T[Del(C):R1]A	0.0124517719779664	0.0112534807951688	0.00779936442883532	0.0123664644558013
T[Del(C):R1]G	0.00216251480800418	0.000755441406325061	0.00164371536935203	0.00152404813124905
T[Del(C):R1]T	0.0137776917896182	0.0192091240886357	0.0122465742980241	0.0160963717243845
T[Del(C):R2]A	0.0266078550528256	0.0052679542797989	0.00347098508608163	0.00767485380316569
T[Del(C):R2]G	0.00521760814849268	0.000234676426589412	0.000480676483322305	0.000442878488308093
T[Del(C):R2]T	0.0240111950994941	0.005857098409965	0.00472233847374527	0.00797522611122821
T[Del(C):R3]A	0.0472114327912337	0.00156541237431626	0.0020438536353527	0.00469417064389754
T[Del(C):R3]G	0.00803469968665584	0.000462606928024249	0.000336213019709765	0.000361812098348038
T[Del(C):R3]T	0.0266018834756382	0.00107796817640472	0.0020193465575201	0.00278527049294338
T[Del(C):R4]A	0.0139026642679683	0.000746549050439487	0.0016957929097463	0.0025284180363331
T[Del(C):R4]G	0.00126086407171589	0.000137984832707189	0.000108017040169195	0.000174932736229594
T[Del(C):R4]T	0.0083026742129411	0.00163312715332997	0.00128446150723556	0.0015308747746141
T[Del(C):R5]A	0.00872036881149738	0.00103135996624584	0.000905348009931022	0.00121940917108336
T[Del(C):R5]G	0.000458634353696919	0.000521224929178007	9.84341443500398e-05	8.70397029044807e-05
T[Del(C):R5]T	0.00692263698302829	0.000197062783303304	0.000516625434031869	0.00049663830480792
T[Del(C):R6]A	0.00464585834230338	0.000213416541253785	0.00109498985260354	0.00108287630378222
T[Del(C):R6]G	0.000381377073834734	3.40362587344399e-05	9.84472357377709e-06	2.38932517777006e-05
T[Del(C):R6]T	0.00212005344906097	0.00038870838428551	0.000391668138138648	0.000423251888633553
T[Del(C):R7]A	0.000734159479983575	8.09511018548841e-05	0.000550636859357232	0.000154452806134422
T[Del(C):R7]G	4.65093992481382e-06	1.17542635269087e-05	9.44019969288652e-05	2.47465821983328e-05
T[Del(C):R7]T	0.000210986157453437	0.000210196895157284	0.000275979544759036	0.00024063917861827
T[Del(C):R8]A	2.29676045669818e-07	3.06632961571531e-05	0.000197549040862096	2.81599038808614e-05
T[Del(C):R8]G	0	0	0	0
T[Del(C):R8]T	8.35446616123965e-06	3.88401751323939e-06	2.51616472191484e-05	1.19466258888503e-05
T[Del(C):R(9,)]A	0	0	0	0
T[Del(C):R(9,)]G	0	0	0	0
T[Del(C):R(9,)]T	0	0	0	0
A[Del(T):R1]A	0.0112341731313535	0.00190408848037202	0.00463817394202212	0.00777213347111775
A[Del(T):R1]C	0.00193883904902748	0.00580563517791458	0.00178142367689533	0.0057941135560924
A[Del(T):R1]G	0.0038291303239015	0.00132230354128363	0.0016992490361073	0.00275625725864189
A[Del(T):R2]A	0.00270368899061369	0.00499336446271159	0.0023048697239351	0.00581032683408441
A[Del(T):R2]C	0.000466184953698314	0.00583215892909051	0.0015611610783198	0.00565672735837062
A[Del(T):R2]G	0.00418105144487908	0.00360135302816403	0.0014658165014743	0.00374270722489267
A[Del(T):R3]A	0.00321216304622095	0.00307593744851122	0.00405183686832221	0.00587176662436992
A[Del(T):R3]C	0.00075861997884741	0.00277518161870314	0.00246916663996024	0.00461310425393748
A[Del(T):R3]G	0.00225274878444671	0.000900376586161205	0.00166587908878076	0.00299348311557763
