Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O
DRUP01010025T	1.81E+03	1.61E+03	6.88E+02	2.20E+02	1.54E+02	1.94E+01	3.93E+00	3.54E+01	1.75E+03	1.89E+01	7.22E+01	1.48E+01	6.05E+00	3.26E+00	1.39E+01
CPCT02010604T	4.98E+00	3.28E+00	1.90E+00	7.20E+00	6.16E+00	4.84E+00	7.51E-01	1.55E+00	5.46E+00	1.71E+00	4.65E+00	1.12E+00	1.20E+00	1.41E+00	1.46E+00
CPCT02100086T	6.01E+00	5.43E+00	2.28E+00	5.65E+00	6.17E+00	1.95E+00	1.43E+00	3.04E+00	4.91E+00	3.82E+00	3.64E+00	2.02E+00	2.12E+00	2.94E+00	1.91E+00
CPCT02050199T	1.09E+01	8.06E+00	9.07E+00	1.33E+01	1.18E+01	6.16E+00	1.58E+00	9.35E+00	1.32E+01	1.07E+01	1.20E+01	1.99E+00	2.43E+00	1.45E+00	8.03E+00
CPCT02220023T	6.58E+00	6.12E+00	2.43E+01	1.00E+01	7.47E+00	0.00E+00	1.58E+00	9.81E+00	1.25E+01	1.45E+01	8.63E+00	1.38E+02	2.60E+00	8.17E+00	1.59E+02
CPCT02010605T	1.19E+01	8.23E+00	1.75E+00	2.16E+01	1.88E+01	4.19E+00	9.48E-01	3.42E+00	1.40E+01	1.93E+00	6.79E+00	1.76E+00	1.09E+00	9.82E-01	1.85E+00
CPCT02060103T	2.54E+01	2.01E+01	4.60E+00	8.03E+00	7.04E+00	3.04E+00	1.43E+00	2.89E+00	1.60E+01	3.49E+00	4.89E+00	1.75E+00	1.02E+00	1.42E+00	2.78E+00
CPCT02010607T	6.60E+00	5.60E+00	3.10E+00	6.70E+00	5.11E+00	3.81E+00	3.31E+00	3.17E+00	5.50E+00	1.98E+00	3.87E+00	2.12E+00	1.45E+00	1.32E+00	1.95E+00
CPCT02010598T	2.02E+01	1.65E+01	2.59E+00	9.52E+00	8.98E+00	2.53E+00	8.92E-01	7.34E+00	1.47E+01	2.11E+00	4.27E+00	1.63E+00	1.60E+00	1.10E+00	1.65E+00
CPCT02140047T	9.66E+00	8.12E+00	3.32E+00	7.92E+00	7.91E+00	3.48E+00	5.11E-01	8.74E+00	1.12E+01	2.32E+00	5.29E+00	2.07E+00	1.32E+00	1.58E+00	2.06E+00
CPCT02070171T	7.70E+00	6.57E+00	1.58E+00	1.60E+01	1.30E+01	4.64E+00	9.55E-01	2.80E+00	8.22E+00	1.64E+00	4.92E+00	1.51E+00	2.15E+00	1.12E+00	1.80E+00
CPCT02220024T	1.52E+01	1.22E+01	3.86E+00	1.09E+01	9.63E+00	4.93E+00	4.47E+00	4.47E+00	1.10E+01	6.17E+00	6.14E+00	3.46E+00	2.99E+00	2.86E+00	3.01E+00
CPCT02160028T	9.69E+00	7.62E+00	2.82E+00	1.98E+01	1.67E+01	4.67E+00	1.92E+00	4.28E+00	1.20E+01	2.57E+00	7.21E+00	1.86E+00	1.15E+00	1.27E+00	1.92E+00
CPCT02370005T	8.95E+00	8.43E+00	1.85E+00	7.45E+00	6.24E+00	6.15E+00	1.13E+00	4.77E+00	7.29E+00	1.99E+00	4.73E+00	1.59E+00	2.22E+00	3.37E+00	2.51E+00
CPCT02230024T	6.82E+00	3.20E+00	3.21E+00	1.45E+01	1.26E+01	4.97E+00	2.00E+00	4.42E+00	8.77E+00	4.76E+00	6.67E+00	2.06E+00	2.14E+00	2.29E+00	2.98E+00
CPCT02230032T	1.46E+01	1.09E+01	2.60E+00	1.23E+01	1.09E+01	4.69E+00	1.12E+00	4.38E+00	1.22E+01	1.37E+00	6.45E+00	1.83E+00	1.37E+00	1.18E+00	1.81E+00
CPCT02070185T	7.38E+00	6.68E+00	2.67E+00	1.23E+01	1.06E+01	4.24E+00	1.42E+00	3.31E+00	8.63E+00	1.96E+00	6.24E+00	2.31E+00	1.24E+00	1.38E+00	2.10E+00
CPCT02230027T	8.70E+00	9.06E+00	4.87E+00	1.85E+01	1.68E+01	5.54E+00	9.32E-01	4.63E+00	1.10E+01	5.44E+00	6.54E+00	2.25E+00	2.41E+00	1.78E+00	2.88E+00
CPCT02030357T	3.19E+03	2.90E+03	1.03E+03	5.36E+02	4.08E+02	9.02E+01	9.71E+00	8.88E+01	2.05E+03	3.67E+01	1.68E+02	2.93E+01	9.97E+00	6.94E+00	2.71E+01
CPCT02080062T	1.26E+01	8.93E+00	2.00E+00	1.98E+01	1.67E+01	6.71E+00	1.27E+00	3.93E+00	1.32E+01	1.91E+00	8.07E+00	2.05E+00	2.08E+00	1.62E+00	2.75E+00
CPCT02330045T	8.78E+00	6.52E+00	3.13E+00	1.70E+01	1.35E+01	3.45E+00	1.05E+00	3.41E+00	9.39E+00	4.08E+00	5.67E+00	3.65E+00	1.48E+00	1.07E+00	3.24E+00
CPCT02010614T	4.29E+00	3.95E+00	1.44E+00	4.60E+00	4.46E+00	3.59E+00	1.82E+00	2.18E+00	3.33E+00	1.01E+00	3.51E+00	1.07E+00	2.20E+00	1.18E+00	1.27E+00
CPCT02380015T	5.70E+00	4.37E+00	2.14E+00	1.09E+01	9.73E+00	2.61E+00	4.27E-01	2.40E+00	6.65E+00	1.75E+00	3.50E+00	1.21E+00	1.75E+00	9.73E-01	1.56E+00
CPCT02050187T	1.08E+01	1.03E+01	3.13E+00	8.49E+00	8.36E+00	4.20E+00	1.03E+00	3.83E+00	8.54E+00	4.48E+00	4.23E+00	1.73E+00	1.96E+00	1.77E+00	2.00E+00
CPCT02050211T	1.21E+03	1.12E+03	4.56E+02	4.22E+02	3.03E+02	4.71E+01	3.84E+00	1.95E+01	1.17E+03	1.38E+01	1.60E+02	1.08E+01	5.34E+00	9.90E-01	8.84E+00
CPCT02020554T	1.87E+01	1.40E+01	4.99E+00	1.20E+01	1.45E+01	6.03E+00	2.56E+00	5.13E+00	1.28E+01	2.69E+00	1.61E+01	2.44E+00	3.20E+00	2.29E+00	6.39E+00
CPCT02030361T	7.89E+00	8.35E+00	5.71E+00	1.23E+01	9.28E+00	5.93E+00	2.94E+00	4.18E+00	1.13E+01	5.51E+00	6.15E+00	3.37E+00	1.98E+00	2.69E+00	3.07E+00
