MutationType	CPCT02060034T	CPCT02020356T	CPCT02050063T	CPCT02030275T	CPCT02070033T	CPCT02030294T	CPCT02070038T	CPCT02080179T	CPCT02010866TII	CPCT02330133T	CPCT02050427T	DRUP01030028T	CPCT02080193T	CPCT02030556T	CPCT02120111T	CPCT02050341T	WIDE01010210T	WIDE01010208T	CPCT02290033T	CPCT02070323T	WIDE01010450T	CPCT02090049T	CPCT02010866T	CPCT02070363T	CPCT02060222T	CPCT02080251T	CPCT02070384T	CPCT02070386T	DRUP01070051T	CPCT02080137T	CPCT02080157T	CPCT02330128T	CPCT02070030T	DRUP01050009T	CPCT02070225T	CPCT02070230T	DRUP01070022T	DRUP01050010T	CPCT02050161T	CPCT02050174T	CPCT02050172T	CPCT02050186T	DRUP01070016T	CPCT02080120T	CPCT02030351T	CPCT02060119T	CPCT02080136T	DRUP01010035T	CPCT02070039T	CPCT02030302T	CPCT02070053T	CPCT02070065T	DRUP01070003T	CPCT02070099T	CPCT02020473T	DRUP01070009T	CPCT02030324T	CPCT02030330T	CPCT02050151T	CPCT02070128T	CPCT02080099T	DRUP01030004T	CPCT02070265T	CPCT02080040T	WIDE01010705T
A[Ins(T):R(0,4)]C	2	0	5	4	2	5	0	2	9	9	13	0	7	8	0	1	1	4	5	0	5	2	6	4	0	13	4	15	5	3	59	1	0	4	3	3	3	1	2	4	4	8	2	9	4	1	2	0	3	3	2	0	1	0	0	7	6	13	1	1	2	5	5	4	0
A[Ins(T):R(0,4)]G	0	2	4	1	2	28	6	2	29	34	20	3	25	8	2	0	0	2	20	4	3	3	25	2	1	46	2	10	4	11	141	1	0	7	0	3	5	1	5	3	17	16	3	25	2	3	1	1	4	4	0	1	2	2	1	4	1	34	0	3	2	30	3	7	2
C[Ins(T):R(0,4)]A	1	2	1	2	0	4	2	2	10	8	4	6	2	10	0	6	2	2	8	2	3	6	11	2	1	15	5	6	4	1	39	3	0	4	0	1	1	0	2	3	6	7	4	4	3	2	2	0	3	1	1	1	4	0	1	4	2	7	2	4	3	3	2	3	1
C[Ins(T):R(0,4)]C	3	3	5	2	0	4	3	2	10	7	6	4	8	6	1	0	3	1	3	1	4	0	7	5	1	5	1	6	6	7	90	7	2	4	3	3	7	0	4	3	8	6	4	2	4	2	4	1	0	1	0	0	3	1	0	6	5	8	2	5	1	5	5	9	0
C[Ins(T):R(0,4)]G	1	0	6	6	2	12	2	1	30	10	3	4	5	7	3	3	2	1	15	4	2	3	31	1	0	12	2	11	3	10	159	3	0	9	4	3	3	1	3	3	9	8	4	4	6	1	4	0	2	0	0	1	0	1	0	1	2	13	2	4	4	11	2	1	2
G[Ins(T):R(0,4)]A	0	3	6	4	2	19	12	3	23	56	8	10	5	11	0	1	2	3	5	1	8	3	7	6	0	6	1	17	4	1	26	7	0	59	9	2	4	1	16	4	17	23	5	1	3	2	2	2	0	6	3	0	1	0	5	6	1	9	2	6	3	20	5	3	2
G[Ins(T):R(0,4)]C	0	7	0	6	2	15	10	1	4	55	1	1	0	19	0	1	0	1	2	2	1	1	4	1	0	7	0	2	1	3	18	5	0	36	2	1	0	0	19	0	13	22	0	1	2	0	0	0	0	11	0	2	0	1	0	1	3	3	0	0	2	21	3	2	2
G[Ins(T):R(0,4)]G	0	18	3	13	3	20	16	2	28	97	2	2	1	20	4	0	0	7	8	0	6	9	25	4	3	15	3	10	3	9	77	3	2	81	5	7	3	1	30	1	19	34	4	2	5	2	1	0	2	20	0	1	1	1	0	5	6	16	1	4	3	22	3	2	0
A[Ins(T):R(5,7)]A	1	12	7	11	10	7	14	4	58	14	18	17	14	21	1	3	2	13	7	7	21	19	40	12	1	32	10	33	7	11	621	4	2	18	6	7	8	0	14	5	32	19	3	9	14	9	20	1	5	12	5	4	1	2	1	34	27	25	8	3	20	7	20	12	4
A[Ins(T):R(5,7)]C	1	8	4	20	9	13	19	9	48	18	22	15	14	31	2	11	1	11	16	10	35	19	38	14	3	21	14	30	10	9	503	7	0	23	4	5	6	1	18	13	48	29	4	14	16	6	19	0	5	13	13	2	5	0	4	34	29	23	12	5	9	16	13	27	4
