Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R
CPCT02150018T	17	50	7	14	9	25	46	34	0	27	28	0	31	45	11	12	23	9
CPCT02010896T	323	167	43	39	80	35	52	57	0	114	152	102	48	95	60	44	11	10
CPCT02360022T	9	64	4	15	29	7	44	30	6	15	18	35	31	10	28	22	7	6
CPCT02220053T	20	97	10	27	12	13	55	32	4	20	14	21	10	20	34	14	37	16
CPCT02040267T	24	143	15	4	25	24	41	45	28	9	12	44	16	11	8	29	18	3
CPCT02040266T	26	42	10	446	224	0	86	0	74	82	30	152	14	0	33	43	0	18
CPCT02010891T	3	26	12	5	2	0	35	39	28	33	14	16	32	14	14	14	35	11
CPCT02350007T	114	349	36	22	30	32	50	71	0	38	29	86	71	22	23	40	39	10
CPCT02020830T	29	52	0	9	14	6	98	68	3	1	7	39	6	13	6	5	14	5
CPCT02030383T	78	58	31	19	18	12	61	8	18	9	17	0	34	53	28	11	33	11
CPCT02350008T	59	118	8	33	85	20	95	19	65	41	158	45	102	0	34	37	153	14
CPCT02030289TIII	42	396	13	21	107	30	217	84	19	122	31	192	37	19	20	50	0	27
CPCT02160055T	15	76	2	0	19	12	29	31	5	22	8	27	20	21	5	10	2	3
CPCT02050383T	9	80	10	6	20	12	52	40	0	8	95	0	44	35	1	25	34	11
CPCT02290046T	23	74	0	6	19	11	103	14	9	10	3	64	6	39	8	14	11	8
CPCT02030522T	59	69	0	15	66	12	55	69	3	79	20	27	19	24	35	16	33	8
CPCT02110076T	180	85	0	49	43	30	69	71	96	62	45	76	6	18	50	29	9	15
CPCT02080250T	409	138	24	52	43	26	101	63	68	25	36	45	40	36	56	12	39	34
CPCT02230110T	548	346	77	106	302	94	84	55	131	321	80	123	23	60	114	86	0	21
CPCT02010900T	48	72	0	14	115	27	67	88	44	96	33	104	4	0	29	25	0	7
CPCT02120158T	43	88	11	25	36	33	96	92	117	15	54	10	63	0	6	18	35	16
CPCT02180070T	2	38	13	13	40	16	53	16	0	65	33	20	12	18	9	30	7	12
CPCT02210069T	120	74	24	23	59	39	34	62	0	98	53	0	28	42	39	28	55	7
CPCT02070360T	0	28	0	269	338	39	94	0	199	30	21	69	28	0	3	0	25	21
CPCT02180069T	129	321	11	16	43	37	113	20	26	28	18	42	0	48	23	14	41	5
CPCT02410009T	32	84	15	22	35	23	67	13	0	36	30	0	41	29	34	21	36	8
CPCT02080254T	44	115	8	13	7	4	74	45	11	1	10	32	25	0	8	14	27	3
CPCT02110077T	91	75	44	23	40	46	67	65	0	33	90	0	105	39	18	28	37	24
CPCT02010915T	12	54	0	28	88	44	70	7	42	110	55	21	34	11	28	80	10	2
CPCT02120154T	35	165	7	10	16	8	37	47	0	27	13	0	25	19	22	21	15	2
CPCT02080253T	568	264	35	95	94	42	115	281	132	27	68	0	100	59	35	19	84	25
CPCT02140083T	122	40	0	11	98	42	74	51	58	220	46	137	0	0	44	63	0	5
CPCT02020791T	24	129	0	29	116	24	55	84	32	117	26	146	6	0	21	37	4	10
DRUP01010091T	132	70	20	459	399	58	116	8	100	70	96	0	67	25	33	29	33	25
CPCT02100187T	18	66	5	6	18	11	38	3	6	30	85	16	39	0	23	8	21	7
CPCT02040282T	77	61	20	32	61	8	69	39	0	33	14	52	36	43	4	15	52	13
CPCT02290052T	101	287	42	51	83	39	105	135	31	96	131	76	60	53	49	46	39	12
CPCT02310018T	47	43	0	8	61	23	120	145	96	8	12	2	26	13	5	13	42	8
CPCT02310019T	106	893	31	15	127	39	98	231	80	135	49	46	46	0	22	43	81	26
CPCT02470001T	27	163	12	2	18	4	17	0	45	19	4	13	36	24	0	13	5	2
DRUP01220002T	244	37	31	138	253	143	98	96	0	254	111	12	44	46	93	55	27	25
CPCT02030521T	26	50	4	14	36	2	64	14	28	43	60	46	23	10	18	5	7	14
CPCT02010901T	12	176	0	726	356	47	152	0	457	5	21	0	79	0	6	18	56	30
CPCT02290048T	78	95	15	12	19	19	50	23	42	15	27	20	27	50	9	8	0	8
CPCT02210071T	12	82	21	32	51	48	71	47	0	87	34	0	26	30	15	30	0	11
CPCT02120165T	10	31	12	46	91	31	65	11	4	37	21	48	86	39	22	38	45	6
CPCT02020773T	0	16	4	36	154	58	56	45	0	152	47	168	12	17	42	55	24	4
CPCT02040290T	56	123	41	23	99	18	45	57	0	175	90	76	45	39	55	75	20	13
CPCT02020829T	113	97	8	0	19	23	37	24	30	10	31	49	38	5	6	15	5	6
CPCT02150027T	42	130	2	296	305	45	113	23	25	44	45	121	0	0	5	11	0	23
CPCT02010933T	68	133	0	187	95	2	163	0	210	14	8	36	8	0	12	0	0	32
CPCT02210073T	102	94	0	474	181	32	66	16	132	20	50	49	79	41	42	17	9	13
CPCT02190049T	232	152	66	32	42	71	109	17	53	44	109	0	42	77	53	54	34	19
CPCT02020824T	117	126	19	19	29	24	44	22	29	19	19	12	17	10	29	16	2	10
CPCT02010934T	46	30	0	6	23	25	50	51	21	50	29	56	20	23	25	26	12	10
CPCT02290057T	37	117	15	8	11	9	57	68	0	0	11	75	82	41	17	3	7	7
CPCT02020801T	68	85	1	14	19	16	68	18	58	0	12	93	2	10	11	0	0	7
CPCT02340066TII	42	182	7	31	153	28	54	99	115	173	52	46	25	33	38	66	0	16
CPCT02020795T	107	335	20	10	31	20	80	135	0	21	10	2	59	29	26	16	47	6
CPCT02010939T	361	128	48	29	47	44	61	46	47	54	50	0	42	42	38	38	43	14
CPCT02010936T	27	32	2	29	14	19	40	3	26	20	40	0	43	31	17	8	11	12
CPCT02020807T	99	261	0	15	24	14	50	8	45	28	26	42	14	15	16	32	15	7
CPCT02020597TII	25	225	0	15	81	13	66	31	133	28	20	50	38	123	61	20	57	15
CPCT02050409T	25	151	0	624	312	42	120	36	206	45	42	0	102	0	14	34	29	38
DRUP01020034T	26	74	10	912	383	23	217	17	141	29	35	0	51	61	9	28	19	13
CPCT02010940T	26	72	15	9	20	9	104	123	0	33	7	20	19	8	22	9	18	9
DRUP01210004T	93	206	0	36	50	18	92	46	0	12	15	152	32	57	45	23	0	4
CPCT02060272T	18	40	8	0	8	16	38	39	6	22	7	34	12	39	29	6	12	2
