Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
CPCT02210043T	59	38	355	27	143	71	214	22	25	124	0
CPCT02010753T	352	124	201	1877	200	150	241	106	131	55	0
CPCT02020924T	84	0	291	53	88	70	30	75	21	55	0
CPCT02070293T	56	53	114	19	78	59	101	50	39	49	17
CPCT02020938T	8	63	183	21	0	139	44	384	77	46	0
CPCT02200006T	24	78	149	36	95	294	37	52	98	16	0
CPCT02020658T	23	55	93	34	64	64	62	33	45	27	0
CPCT02070292T	63	22	278	22	34	110	204	73	31	29	0
CPCT02070055TII	153	3	203	1488	0	121	195	58	1	587	7
CPCT02070466T	25	1	154	38	127	125	61	19	90	37	7
CPCT02070454T	27	20	81	29	58	53	27	22	28	18	1
CPCT02010762T	36	27	127	67	182	139	75	78	97	34	0
CPCT02260016T	81	157	302	93	124	43	79	85	10	60	0
CPCT02350020T	706	227	437	28	113	40	73	110	51	58	4
CPCT02070295T	62	72	184	18	168	86	83	43	34	9	0
CPCT02020942T	43	29	158	14	95	46	27	63	72	45	0
CPCT02140060T	43	49	474	77	142	95	97	31	47	42	0
CPCT02310008T	35	0	200	4	109	85	69	59	28	28	7
CPCT02070300T	58	37	228	25	128	146	82	42	40	16	0
CPCT02160062T	24	0	99	9	41	33	21	22	42	39	11
CPCT02070473T	4	60	87	29	101	99	48	38	48	44	0
CPCT02070468T	31	4	178	22	75	54	42	45	32	35	13
CPCT02300052T	308	300	343	21	113	143	32	63	29	44	0
CPCT02070301T	60	87	144	1037	459	0	205	36	186	10	0
CPCT02430002T	34	0	113	347	250	97	47	33	50	8	0
CPCT02070474T	39	24	282	10	129	77	41	34	21	53	9
CPCT02070472T	38	34	177	9	90	60	34	24	47	13	0
DRUP01070036T	57	92	174	90	0	431	347	18	40	29	0
CPCT02150052T	1131	27	0	3409	817	0	195	317	154	38	33
CPCT02070307T	153	139	207	171	0	272	109	48	19	42	9
CPCT02330099T	147	60	379	14	167	115	122	48	78	64	4
CPCT02070263T	54	60	139	21	26	161	150	46	24	20	0
DRUP01050020T	167	177	259	46	227	107	143	33	23	55	0
CPCT02020678T	54	8	53	812	144	73	129	17	33	28	10
CPCT02020673T	24	38	151	790	181	116	211	36	76	82	7
WIDE01010113T	73	152	134	21	77	49	63	29	16	69	0
CPCT02050442T	64	128	506	29	70	51	46	41	23	58	2
CPCT02020968T	96	53	499	33	226	355	35	39	85	72	0
CPCT02020970T	37	26	277	25	45	0	46	89	53	258	0
CPCT02060294T	46	154	249	130	137	34	77	84	41	115	0
CPCT02070478T	134	54	342	45	71	323	57	12	51	56	0
CPCT02140065T	74	76	207	33	128	66	96	49	17	24	0
CPCT02210085T	85	88	224	41	97	9	54	26	42	50	0
CPCT02390044T	428	284	511	16	42	86	39	97	33	71	0
CPCT02050443T	54290	11297	845	0	0	0	754	150	0	399	2463
CPCT02070306T	69	68	529	56	136	83	88	32	68	19	3
CPCT02070481T	46	9	159	88	80	390	26	77	36	49	8
CPCT02070482T	14	0	29	1	40	15	19	1	1	33	0
DRUP01140005T	496	64	565	35	60	131	317	59	34	65	0
CPCT02220082T	45	16	132	25	0	60	21	376	38	14	0
CPCT02020687T	12	20	79	16	68	10	76	44	19	28	0
CPCT02070484T	68	4	225	352	67	75	40	29	27	24	0
CPCT02020686T	95	37	238	164	110	276	139	29	87	27	0
CPCT02070486T	10	225	229	39	79	192	49	17	52	68	0
CPCT02070483T	69	52	181	48	137	87	33	43	5	114	0
CPCT02070487T	48	0	116	27	74	68	27	20	16	32	5
CPCT02040342T	130	46	409	40	153	111	51	9	63	76	0
CPCT02020977T	18	18	82	42	107	58	27	56	27	18	12
CPCT02070312T	34	87	350	37	117	97	65	57	30	51	8
CPCT02040343T	164	127	264	21	92	72	54	37	42	77	4
CPCT02290031T	53	60	144	15	53	98	153	26	29	16	5
CPCT02150008T	79	42	129	51	178	109	164	0	17	42	0
CPCT02370013TII	32	84	157	23	73	111	213	23	7	22	0
CPCT02100202T	46	25	233	26	197	65	23	15	67	32	4
CPCT02100203T	74	30	230	22	90	55	38	27	33	28	0
CPCT02070466TII	45	32	321	57	139	149	77	85	152	56	8
WIDE01010214T	54	35	386	5	64	83	32	22	48	66	0
WIDE01010215T	94	78	654	33	98	12	75	100	67	60	0
WIDE01010234T	43	29	235	32	175	69	55	34	26	42	0
CPCT02110083T	54	74	184	26	99	56	35	20	20	36	0
CPCT02070315T	53	86	283	15	86	34	139	47	26	24	0
DRUP01070026TII	72743	17146	3130	0	705	0	419	246	0	0	2499
CPCT02020981T	109	88	178	27	67	38	20	30	11	32	0
CPCT02140067T	27	35	273	1	18	60	114	6	24	65	1
CPCT02350003T	52	45	36	10	15	121	193	0	1	2	0
CPCT02070490T	81	24	195	17	70	20	32	45	35	40	0
WIDE01010283T	15	30	92	0	44	30	20	41	52	29	2
CPCT02020982T	72	0	236	41	172	0	44	0	68	36	1
CPCT02020975T	16	117	284	19	68	59	70	49	48	50	0
WIDE01010323T	16	39	221	78	85	218	58	61	55	24	0
CPCT02070208T	82	28	124	27	79	77	224	7	71	6	9
CPCT02070064TII	87	40	172	38	68	128	307	16	52	45	9
CPCT02140041TIV	260	86	275	47	223	47	74	84	60	29	0
CPCT02020704T	46504	11538	1580	15	1240	0	413	879	0	0	274
CPCT02040249T	134	14	330	29	70	24	69	72	79	51	9
CPCT02020924TII	91	0	275	45	102	91	39	66	5	73	8
WIDE01010383T	77	61	188	76	132	294	54	46	70	67	5
CPCT02070335T	83	73	202	15	71	57	61	28	21	28	4
CPCT02230091T	43	33	195	30	137	53	71	35	61	50	0
CPCT02230102T	24	61	138	12	54	56	81	29	6	30	4
DRUP01050049T	54736	10739	1104	0	0	0	514	35	0	182	2271
CPCT02020715T	84	56	350	17	87	106	80	54	38	49	0
CPCT02340086T	85	96	216	39	76	68	103	71	42	34	0
CPCT02020731T	59	53	393	37	83	166	218	46	1	22	0
CPCT02370027T	77	109	234	58	46	251	275	37	32	0	0
WIDE01010246T	112	33	242	808	151	115	115	31	35	145	2
CPCT02070139T	62	102	207	25	48	46	196	26	8	205	0
CPCT02070318T	114	38	285	27	133	0	118	50	40	49	15
CPCT02290038T	93	217	215	20	0	99	124	47	18	28	0
CPCT02070147TII	75	28	156	49	71	187	438	34	21	58	1
WIDE01010453T	92	48	187	19	34	36	44	50	57	32	2
DRUP01070042T	29404	9642	1875	0	295	0	260	598	244	0	87
CPCT02030488T	354	23	701	6	127	57	41	34	7	36	1
CPCT02010840T	103	63	104	711	76	151	181	75	40	46	0
CPCT02070339T	72	62	249	16	80	28	76	32	16	23	0
CPCT02070338T	167	88	441	120	48	769	96	57	91	77	28
CPCT02230108T	149	71	394	39	134	97	61	40	54	69	20
CPCT02030380TII	64	60	35	800	106	49	180	104	60	8	0
