Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S	ID83T
SP99077	81	0	25	18	29	77	45	27	0	71	18	0	11	0	45	26	0	0	0	0
SP99081	118	31	15	28	33	86	64	63	0	40	26	0	30	0	0	19	0	0	12	4
SP99085	210	18	49	0	73	149	45	104	0	0	23	0	1	0	15	55	0	1	12	46
SP99089	98	11	78	0	26	40	61	19	36	0	20	102	14	0	45	0	0	2	10	10
SP99093	16	11	127	185	17	0	79	61	8	0	9	98	4	0	8	0	0	0	1	0
SP99097	118	10	2	0	4	6	0	11	0	22	2	0	5	0	31	0	0	5	11	11
SP99101	271	18	0	22	5	3	17	1	50	27	9	44	4	54	0	0	0	4	0	0
SP106998	154	16	51	111	0	157	0	166	0	0	20	0	0	0	0	120	0	2	2	3
SP99105	33	8	31	28	14	0	0	0	0	27	12	90	4	0	39	1	0	4	8	26
SP99109	312	23	68	19	35	0	30	12	0	116	38	28	4	9	48	26	0	4	32	18
SP50113	130	57	108	115	70	35	165	39	84	124	115	0	21	0	56	0	0	5	31	0
SP50115	73	7	7	111	30	46	38	13	10	36	40	0	17	0	0	16	0	3	8	6
SP50117	113	23	36	28	44	0	0	78	56	33	49	0	10	16	0	34	0	2	16	57
SP107004	119	15	127	1	66	66	51	0	0	0	44	9	43	12	46	6	61	7	25	0
SP99117	105	31	68	61	15	0	52	0	27	132	13	42	4	0	0	17	0	1	14	0
SP99121	44	14	116	0	19	59	64	65	84	22	10	187	24	43	17	0	0	3	7	0
SP107007	112	18	120	0	61	19	134	59	0	50	40	107	19	0	33	17	0	1	18	8
SP99125	15	17	49	192	41	0	50	18	0	0	26	75	2	0	0	6	0	3	1	0
SP99129	210	13	69	45	63	0	51	10	0	44	56	0	56	96	37	0	0	6	2	0
SP99133	50	17	109	0	53	14	11	54	20	15	37	0	9	0	45	6	0	1	2	35
SP50119	84	58	57	107	69	24	7	0	0	63	6	42	25	0	38	0	0	2	25	9
SP99137	125	35	138	176	81	84	33	0	0	5	58	0	20	0	12	2	0	14	19	29
SP50121	63	1	32	41	13	54	0	0	0	47	46	0	4	28	0	0	0	0	0	0
SP50123	248	68	74	47	35	59	64	47	0	36	21	5	17	5	1	2	95	2	28	0
