Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O
SP99181	5	75	64	0	79	0	9	37	36	0	13	87	0	0	2
SP50139	2	47	22	0	1	45	13	30	7	0	19	51	34	0	0
SP107010	25	15	4	282	0	88	30	16	23	53	25	38	0	19	13
SP99189	11	38	24	0	47	55	19	13	27	0	4	0	1	0	0
SP50141	0	0	5	0	0	3	4	0	0	0	2	12	2	2	0
SP99193	6	102	85	23	80	1	8	29	9	0	16	43	0	0	0
SP50145	14	27	0	130	3	139	16	43	9	0	13	10	0	12	8
SP50147	26	0	160	327	32	0	61	136	20	0	8	7	0	20	8
SP107012	26743	2619	62	0	0	126	0	11	178	0	0	0	0	21	13
SP50149	49	117	90	113	42	26	89	0	40	0	27	30	59	19	0
SP107017	18	62	2	127	0	0	28	101	15	40	19	0	20	0	0
SP107019	27	162	70	0	161	63	28	15	36	0	20	51	0	23	5
SP107023	13	0	65	254	0	0	39	58	13	5	3	0	0	5	3
SP50151	18	20	15	50	2	165	22	0	26	58	10	13	9	0	2
SP50153	33	58	172	336	0	47	59	0	42	0	32	0	19	14	0
SP99197	55	144	0	163	137	174	482	0	2	0	385	131	39	0	8
SP50155	39	55	176	272	0	56	62	231	45	0	5	0	22	10	10
SP99201	20	112	1	78	10	1	27	79	21	0	4	11	0	0	2
SP50157	9	74	45	0	167	38	63	0	37	0	18	0	55	1	4
SP99205	11	47	24	73	0	7	43	42	32	0	3	39	0	0	0
SP50159	28	70	28	150	53	124	81	0	34	90	40	29	0	2	4
SP50161	18	16	164	191	0	44	85	25	43	0	101	0	17	27	3
SP107025	16	0	0	129	7	211	109	0	69	0	43	23	0	2	5
SP107028	2	0	29	0	20	10	10	9	18	0	0	0	30	6	0
SP50163	20	98	78	0	82	27	33	63	80	0	26	0	14	15	0
SP99217	11	58	8	50	29	0	21	41	5	0	7	9	12	23	2
SP50165	35	0	141	0	48	100	39	0	43	120	37	33	5	4	6
SP107030	25	64	47	97	55	117	19	27	9	0	5	0	0	0	2
SP50167	24	42	133	0	103	0	88	36	55	74	43	7	5	0	6
SP99229	16	155	15	0	0	81	26	24	26	140	24	0	7	1	4
SP99233	16	70	0	110	51	0	55	63	63	0	10	0	0	14	3
SP107032	0	7	10	0	23	15	19	0	11	0	4	0	2	0	2
SP50169	15	24	137	241	0	46	34	141	75	0	20	13	15	15	3
SP50171	19	11	202	82	0	37	44	29	31	216	25	0	0	25	0
