Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R
SP99329	8	0	0	5	1	349	61	0	14	23	0	0	43	12	0	4	0	0
SP99333	10	0	9	129	0	6	0	0	1	12	0	0	17	65	0	1	0	0
SP99337	23	12	77	204	0	10	34	0	31	5	0	0	23	11	10	0	0	0
SP99341	13	5	0	209	0	0	17	0	0	19	0	0	29	21	5	16	0	0
SP99345	1	0	0	11	0	5	14	0	13	9	0	0	0	0	0	2	0	0
SP99113	3	0	0	0	0	1	9	0	14	7	0	0	8	37	0	0	0	0
SP99185	6	0	31	0	0	0	37	0	176	71	0	0	40	72	0	0	0	0
SP99209	12	0	69	66	0	0	103	0	45	107	0	0	80	53	1	0	0	0
SP99213	90	0	0	263	0	0	0	0	0	16	0	0	8	65	3	11	81	0
SP99221	0	0	0	0	0	2	4	0	27	0	0	0	9	0	3	0	3	0
SP99225	8	0	37	0	0	12	15	0	29	11	0	0	52	13	4	16	0	0
SP99241	33	22	0	138	0	62	0	0	342	173	0	0	65	0	20	3	0	0
CPCT02020318T	94	0	111	90	37	4	21	0	2	0	11	50	7	39	13	23	0	0
CPCT02010377T	9	44	86	166	20	20	0	0	105	24	65	0	47	0	10	0	0	0
CPCT02060017T	0	53	158	0	40	30	0	150	0	0	0	0	0	0	11	218	0	17
CPCT02060166T	227	0	31	273	76	26	39	0	0	0	67	5	0	10	60	17	0	0
DRUP01080024T	15	0	35	0	0	3	0	0	5	5	106	0	26	1	130	0	0	0
CPCT02300029T	283	0	225	254	142	29	36	0	30	29	0	0	27	0	30	100	0	0
CPCT02130024T	58	35	123	0	66	17	0	123	41	0	76	0	0	5	17	29	0	0
CPCT02370015T	0	0	30	0	26	10	62	0	39	23	37	33	0	19	15	18	12	0
CPCT02080291T	57	0	133	38	0	11	0	19	18	0	62	0	0	26	6	8	0	35
CPCT02330082T	6	0	0	105	18	0	0	83	13	11	34	0	0	44	0	0	0	0
CPCT02130035T	214	0	0	429	78	19	12	0	0	37	55	70	0	35	16	19	0	0
CPCT02020667T	21	0	66	145	91	22	10	0	36	22	0	0	24	11	7	43	0	0
CPCT02190030T	54	0	0	188	59	16	51	114	122	79	6	0	26	37	12	0	0	0
CPCT02070304T	138	0	152	269	57	34	37	0	0	26	58	0	30	47	27	84	0	0
CPCT02230093T	365	0	0	399	69	29	45	0	0	25	0	0	88	39	0	56	0	0
