hdp.1	hdp.2	hdp.3	hdp.4	hdp.5	hdp.6	hdp.7
G[Del(T):R8]G	0.00019258915659766	6.15585317038441e-05	0.0138080874075022	0.00213484594404811	0.000390739642851582	0.000782385670132942	0.000925416127674086
G[Del(T):R(9,)]A	0	0	0	0	0	0	0
G[Del(T):R(9,)]C	0	0	0	0	0	0	0
G[Del(T):R(9,)]G	0	0	0	0	0	0	0
A[Ins(C):R0]A	0.000396780069616867	0.00212762746902869	0.00143087253904056	0.00174142934220804	0.00148494303617845	0.00290194061982933	0.000439608381802975
A[Ins(C):R0]G	0.000381275904217165	2.5720834973751e-06	6.08707200483659e-05	0.000709411861210075	0.000134972254423761	0.000318784430932587	2.42903872935555e-05
A[Ins(C):R0]T	0.000318520949027894	0.00210687932881653	0.000334026384158661	0.0013350924904603	0.000511934715077598	0.00126983931455188	0.000102400652315969
A[Ins(C):R1]A	0.00097560224453908	1.26889452537172e-05	8.79354034323614e-05	0.00085954716827684	0.000669593120367517	0.000812913688359776	0.000472471846964845
A[Ins(C):R1]G	0.000112009684724379	1.37177786526672e-06	8.29718903075873e-05	0.000292057742099192	5.6929137249544e-05	8.89444140067521e-05	0.000578682756111176
A[Ins(C):R1]T	5.11531987677247e-05	0.000759793465124605	0.0001464055880422	0.000522218473012753	0.00048639383276506	0.000472820853727506	0.000223376306679952
A[Ins(C):R2]A	0.000417241349123957	3.25797243000846e-06	7.45970899806957e-05	0.000747271198148859	0.000688845318914117	0.000122571140850595	0.0012616712929535
A[Ins(C):R2]G	8.4376410338515e-07	3.34370854658763e-05	3.83002721846205e-05	0.000222248329807307	4.40621592810788e-05	0.000100784541376683	2.85769262277124e-06
A[Ins(C):R2]T	1.18126974473921e-05	4.62975029527519e-06	0.000224747874289771	0.000288552247938194	0.000480422341382053	0.00013789253345692	0.000100019241796993
A[Ins(C):R3]A	0.000410280295271029	2.40061126421676e-06	0.00014316576765712	0.000842019697471848	0.000171752779870596	0.000280758302965829	0.00012811988592091
A[Ins(C):R3]G	2.53129231015545e-05	2.05766679790008e-06	6.92996677911641e-05	8.94401795934769e-05	1.05776764220931e-05	2.64346623994261e-05	0.000162412197394165
A[Ins(C):R3]T	7.59387693046635e-06	2.62352516732261e-05	0.000253112095655525	0.000701699774055878	0.000350152808809574	0.000262778141854787	3.04820546428932e-05
A[Ins(C):R4]A	0.000111271391133917	2.40061126421676e-05	0.000919684834604733	0.000747671826052973	0.000115816592689358	0.000457767250754751	0.00032387183058074
A[Ins(C):R4]G	0.000401737183724254	4.33824749890601e-05	0.000481099790330376	0.000422161653960252	2.4989243385701e-05	0.000203979189455485	0.000160507068978985
A[Ins(C):R4]T	0.000140275782187781	1.54325009842506e-06	0.000462788939184619	0.00122792452610977	0.000151507631255691	0.000122092945076365	0.000511050697372256
A[Ins(C):R5]A	6.7501128270812e-06	0.000677315320975444	0.000731062311293999	0.000618269013024113	0.000313455029201765	0.00029544847715017	4.23891072377734e-05
A[Ins(C):R5]G	0.000155779947587483	1.7147223315834e-07	0.000146874865646724	0.000118385545665722	1.9693509688069e-05	3.59029387291771e-05	0.000358164142053995
A[Ins(C):R5]T	1.6875282067703e-06	8.57361165791701e-07	0.000394418802033185	3.90612206511265e-06	6.31350751764565e-05	1.25096014538529e-05	5.71538524554248e-06
A[Ins(C):R6]A	5.0625846203109e-06	1.64613343832007e-05	0.000799387325598844	0.000458718950210665	0.000117278435845475	0.000256638108113676	4.28653893415686e-06
A[Ins(C):R6]G	1.87737513003196e-05	3.60091689632514e-06	0.000105885271805408	0.000806163500053634	8.81105275889866e-05	4.54859820447433e-05	0.000122404500675368
A[Ins(C):R6]T	0.000646006891654255	3.75524190616765e-05	0.000248527614442098	0.000109471574799183	0.000104190802306275	0.000369301032522229	0.000520100057344365
A[Ins(C):R7]A	0.000613205562135158	8.57361165791701e-06	0.0025911704407957	0.000839415616095106	0.000233053655615321	0.0014117678203433	0.000876835353086975
A[Ins(C):R7]G	1.37111666800087e-06	3.60091689632514e-06	0.000694368412447942	0.000404734340131288	0.000125704720452905	8.81219172750767e-05	3.33397472656644e-06
A[Ins(C):R7]T	8.85952308554407e-06	2.05766679790008e-06	0.000793214520185489	0.00032010169538718	7.27887563960982e-05	0.000245792627954143	3.81025683036165e-05
A[Ins(C):R8]A	0.000461117082499984	2.91502796369178e-05	0.00179219824538548	0.000453711101409239	0.000233108819508005	0.000991605885273986	0.000386264786177912
A[Ins(C):R8]G	0.000404584887573179	3.84097802274682e-05	0.000148048059658035	4.30674996922677e-06	2.51271531174102e-05	5.5508965472601e-05	2.90532083315076e-05
