Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
CPCT02040230T	37	73	17	152	57	98	105	10	16
CPCT02320003T	33	138	22	98	88	100	108	72	26
WIDE01010248T	20	54	10	84	19	77	30	38	18
CPCT02010790T	32	82	1180	107	49	69	113	34	132
CPCT02040235T	234	171	68	73	97	256	117	75	42
CPCT02080216T	29	126	752	141	214	70	205	37	48
CPCT02160047T	145	111	9	0	55	78	186	94	0
CPCT02270006T	157	9	124	450	325	84	76	147	58
CPCT02210053T	17	74	16	76	52	73	125	17	35
CPCT02360016T	16	57	17	83	26	30	76	16	3
WIDE01010270T	0	22	81	189	249	104	56	242	38
CPCT02060221T	19	118	24	88	91	43	147	0	11
WIDE01010288T	54	200	7	41	46	92	28	32	28
CPCT02270030T	18	66	28	58	70	52	139	9	23
CPCT02310011T	17	208	74	78	83	74	125	69	21
WIDE01010311T	21	162	97	301	353	73	62	85	37
CPCT02120001T	73	74	36	0	66	146	111	196	21
WIDE01010322T	21	177	26	53	30	85	27	18	38
CPCT02290035T	212	152	748	0	673	0	214	98	57
WIDE01010326T	0	119	21	46	44	52	33	39	47
CPCT02270028T	162	135	73	155	127	125	99	50	37
CPCT02030478T	133	186	13	128	24	57	75	36	33
WIDE01010308T	62	92	70	0	95	104	51	58	35
WIDE01010268T	19	130	40	65	73	40	37	51	15
CPCT02060214T	0	24	25	563	85	0	127	609	79
WIDE01010335T	113	150	117	75	281	108	41	52	38
CPCT02360017T	8	84	22	22	58	47	150	18	16
WIDE01010303T	22	171	63	96	56	89	56	52	73
CPCT02220044T	19	119	18	104	41	69	67	129	16
CPCT02120047TII	135	312	28	40	87	73	226	72	18
WIDE01010339T	113	197	23	35	0	47	47	40	31
WIDE01010352T	122	301	211	433	591	192	107	200	69
WIDE01010346T	2	47	51	174	13	99	78	21	26
CPCT02010824T	75	98	40	63	11	73	68	70	7
WIDE01010341T	259	235	576	0	503	0	56	27	89
WIDE01010332T	45	136	56	298	180	94	37	82	40
CPCT02360018T	13	206	19	87	36	75	39	21	9
CPCT02330104T	0	27	9	153	173	41	41	86	14
CPCT02050359T	15	126	33	48	60	31	100	25	12
CPCT02370025T	28	2	499	0	329	55	60	51	46
WIDE01010131T	46	179	133	208	63	129	54	105	39
WIDE01010371T	202	385	61	29	35	144	46	69	41
CPCT02020719T	142	33	1375	2	443	124	173	273	117
WIDE01010400T	4	56	4	102	43	85	48	52	42
CPCT02010825T	3	39	0	41	27	19	29	8	5
CPCT02010359TII	209	116	985	0	479	63	118	178	95
WIDE01010405T	53	119	26	73	14	35	23	15	15
WIDE01010388T	137	341	15	63	13	48	32	15	22
DRUP01330020T	206194	1378	832	6553	0	991	2	1623	388
CPCT02230099T	133	109	1580	193	206	147	307	182	30
CPCT02110069T	45	63	57	107	62	90	69	10	25
WIDE01010410T	9	116	14	56	0	36	35	18	26
CPCT02020721T	42	91	27	120	33	44	75	16	11
CPCT02230101T	69	81	20	108	30	69	88	38	4
WIDE01010418T	0	31	30	13	24	44	20	32	18
CPCT02300040T	76	116	470	64	119	62	75	68	33
WIDE01010048T	33	150	11	81	47	35	24	31	13
CPCT02290037T	62	261	59	41	91	44	159	93	40
WIDE01010249T	17	131	21	62	0	59	36	21	26
DRUP01010148T	92076	11733	0	8980	0	0	560	0	286
WIDE01010372T	340	13	265	373	560	375	79	198	61
WIDE01010406T	33	195	58	147	149	97	28	209	33
WIDE01010432T	23	80	328	75	163	43	53	60	31
CPCT02010846T	34	55	965	19	160	53	202	150	47
